Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2023-06-22,96.25,96.889999,95.349998,95.550003,29219100,94.14158,95.18815333,98.08900017,100.989847,Decreasing
2023-06-23,95.940002,96.290001,95.25,96.099998,32240200,94.683468,94.91593085,97.92516678,100.9344027,Increasing
2023-06-24,92.910004,94.660004,92.650002,93.400002,75311400,92.02327,94.19504425,97.60733348,101.0196227,Increasing
2023-06-27,93,93.050003,91.5,92.040001,45489600,90.683316,93.25130599,97.21600023,101.1806945,Decreasing
2023-06-28,92.900002,93.660004,92.139999,93.589996,40444900,92.210464,92.71654232,96.8878335,101.0591247,Increasing
2023-06-29,93.970001,94.550003,93.629997,94.400002,36531000,93.00853,92.42450487,96.65866683,100.8928288,Increasing
2023-06-30,94.440002,95.769997,94.300003,95.599998,35836400,94.190838,92.28572979,96.55000023,100.8142707,Increasing
2023-07-01,95.489998,96.470001,95.330002,95.889999,26026500,94.476565,92.22280147,96.45083373,100.678866,Increasing
2023-07-05,95.389999,95.400002,94.459999,94.989998,27705200,93.589829,92.17540513,96.2305004,100.2855957,Decreasing
2023-07-06,94.599998,95.660004,94.370003,95.529999,30949100,94.12187,92.20115951,96.02550048,99.84984145,Increasing
2023-07-07,95.699997,96.5,95.620003,95.940002,25139600,94.525831,92.31098228,95.87350057,99.43601885,Increasing
2023-07-08,96.489998,96.889999,96.050003,96.68,28912100,95.254921,92.52903769,95.73216728,98.93529688,Increasing
2023-07-11,96.75,97.650002,96.730003,96.980003,23794900,95.550502,92.70719122,95.64383403,98.58047685,Increasing
2023-07-12,97.169998,97.699997,97.120003,97.419998,24167500,95.984011,92.74576319,95.62183405,98.49790491,Increasing
2023-07-13,97.410004,97.669998,96.839996,96.870003,25892200,95.442123,92.77707732,95.60000063,98.42292394,Decreasing
2023-07-14,97.389999,98.989998,97.32,98.790001,38919000,97.33382,92.68390678,95.64200058,98.60009438,Increasing
2023-07-15,98.919998,99.300003,98.5,98.779999,30137000,97.323965,92.51132029,95.7288339,98.94634751,Decreasing
2023-07-18,98.699997,100.129997,98.599998,99.830002,36493900,98.358491,92.29945757,95.91683373,99.5342099,Increasing
2023-07-19,99.559998,100,99.339996,99.870003,23779900,98.397902,92.14975558,96.12533377,100.100912,Increasing
2023-07-20,100,100.459999,99.739998,99.959999,26276000,98.486572,92.02698147,96.345667,100.6643525,Decreasing
2023-07-21,99.830002,101,99.129997,99.43,32702000,97.964385,91.96763349,96.54183362,101.1160337,Decreasing
2023-07-22,99.260002,99.300003,98.309998,98.660004,28313700,97.205739,92.02368804,96.68566705,101.3476461,Decreasing
2023-07-25,98.25,98.839996,96.919998,97.339996,40382900,95.905188,92.43932723,96.89216675,101.3450063,Decreasing
2023-07-26,96.82,97.970001,96.419998,96.669998,56239800,95.245066,93.23604436,97.1333333,101.0306222,Decreasing
2023-07-27,104.269997,104.349998,102.75,102.949997,92344800,101.432497,93.32363582,97.64433323,101.9650306,Decreasing
2023-07-28,102.830002,104.449997,102.82,104.339996,39869800,102.802007,93.3217178,98.12816642,102.934615,Increasing
2023-07-29,104.190002,104.550003,103.68,104.209999,27733700,102.673926,93.29583449,98.57433315,103.8528318,Increasing
2023-08-01,104.410004,106.150002,104.410004,106.050003,38167900,104.486808,93.12387182,99.05633327,104.9887947,Increasing
2023-08-02,106.050003,106.07,104,104.480003,33816600,102.93995,93.42312637,99.55133333,105.6795403,Decreasing
2023-08-03,104.809998,105.839996,104.769997,105.790001,30202600,104.230638,93.76562625,100.0653331,106.36504,Increasing
2023-08-04,105.580002,106,105.279999,105.870003,27408700,104.874527,94.08018745,100.5501664,107.0201454,Increasing
2023-08-05,106.269997,107.650002,106.18,107.480003,40553400,106.469389,94.28736079,101.0783331,107.8693055,Increasing
2023-08-08,107.519997,108.370003,107.160004,108.370003,28037200,107.35102,94.45847658,101.6206665,108.7828564,Increasing
2023-08-09,108.230003,108.940002,108.010002,108.809998,26315200,107.786878,94.68178482,102.1793332,109.6768816,Increasing
